날짜,최저기온(℃),최고기온(℃),일교차
2021-01-01,-9.8,1.6,11.4
2021-01-02,-8.4,-1.4,7.0
2021-01-03,-9.1,-2,7.1
2021-01-04,-8.4,0.3,8.7
2021-01-05,-9.9,-2.1,7.8
2021-01-06,-12,-1.9,10.1
2021-01-07,-16.5,-8.4,8.1
2021-01-08,-18.6,-10.7,7.9
2021-01-09,-16.6,-7.5,9.1
2021-01-10,-12.8,-2.7,10.1
2021-01-11,-9.6,-4,5.6
2021-01-12,-9.3,-0.5,8.8
2021-01-13,-3,8.3,11.3
2021-01-14,-3.6,7,10.6
2021-01-15,-0.7,9.9,10.6
2021-01-16,-8.7,-0.7,8.0
2021-01-17,-10.8,-1.3,9.5
2021-01-18,-9.1,0.2,9.3
2021-01-19,-11.6,-0.2,11.4
2021-01-20,-6.6,7.1,13.7
2021-01-21,2.5,7,4.5
2021-01-22,4.8,6.6,1.8
2021-01-23,4.8,12.2,7.4
2021-01-24,2.4,13.9,11.5
2021-01-25,3,13.9,10.9
2021-01-26,1.7,7.4,5.7
2021-01-27,-1.8,6.5,8.3
2021-01-28,-9.7,1.4,11.1
2021-01-29,-11.6,-4.9,6.7
2021-01-30,-8.1,5.2,13.3
2021-01-31,-3.8,8.7,12.5
2021-02-01,-2.3,9.5,11.8
2021-02-02,-8.2,-2.4,5.8
2021-02-03,-9.4,1.4,10.8
2021-02-04,-7.4,0.7,8.1
2021-02-05,-4.4,6.7,11.1
2021-02-06,4.3,9.5,5.2
2021-02-07,-2.6,7.7,10.3
2021-02-08,-5.4,0.2,5.6
2021-02-09,-6.1,4.7,10.8
2021-02-10,-1.5,7.2,8.7
2021-02-11,1.3,10.9,9.6
2021-02-12,0.6,14,13.4
2021-02-13,1,15.9,14.9
2021-02-14,6.4,13.8,7.4
2021-02-15,-5.2,8.2,13.4
2021-02-16,-7,-1.3,5.7
2021-02-17,-10.4,-5.2,5.2
2021-02-18,-10.6,-0.4,10.2
2021-02-19,-7.1,8.9,16.0
2021-02-20,5.5,14.9,9.4
2021-02-21,4.7,17.4,12.7
2021-02-22,0.4,12.6,12.2
2021-02-23,-3.1,4.3,7.4
2021-02-24,-3,10.1,13.1
2021-02-25,0.7,8.2,7.5
2021-02-26,0.5,15.8,15.3
2021-02-27,4.3,16.2,11.9
2021-02-28,3.2,10.8,7.6
2021-03-01,0.5,9,8.5
2021-03-02,0.2,6.9,6.7
2021-03-03,-1.2,9.9,11.1
2021-03-04,2.5,13,10.5
2021-03-05,3,16.2,13.2
2021-03-06,3.2,11.6,8.4
2021-03-07,2.1,12.2,10.1
2021-03-08,1.5,13.9,12.4
2021-03-09,2.1,12.2,10.1
2021-03-10,1.7,17.1,15.4
2021-03-11,4.7,17.1,12.4
2021-03-12,7.2,14.9,7.7
2021-03-13,4.6,14.2,9.6
2021-03-14,4.9,14.7,9.8
2021-03-15,5.1,15.7,10.6
2021-03-16,4.9,13.1,8.2
2021-03-17,1.8,17.5,15.7
2021-03-18,5,18.4,13.4
2021-03-19,11.4,20.2,8.8
2021-03-20,7.4,14.7,7.3
2021-03-21,3.1,8.6,5.5
2021-03-22,1.1,11.1,10.0
2021-03-23,2.5,16.4,13.9
2021-03-24,5.7,16.9,11.2
2021-03-25,6.8,19,12.2
2021-03-26,4.8,20.6,15.8
2021-03-27,10.2,15,4.8
2021-03-28,7.7,13,5.3
2021-03-29,7.3,14.6,7.3
2021-03-30,4.1,18.2,14.1
2021-03-31,5.9,22.9,17.0
2021-04-01,12,24,12.0
2021-04-02,12.5,23,10.5
2021-04-03,10.9,18,7.1
2021-04-04,9,15.8,6.8
2021-04-05,5.4,19.3,13.9
2021-04-06,9.4,19.2,9.8
2021-04-07,8.1,20.4,12.3
2021-04-08,7.2,18,10.8
2021-04-09,7.6,19.6,12.0
2021-04-10,7.7,18.8,11.1
2021-04-11,7.5,21.8,14.3
2021-04-12,11.9,17.8,5.9
2021-04-13,5.7,13.5,7.8
2021-04-14,3.1,13.3,10.2
2021-04-15,6.3,18.3,12.0
2021-04-16,8.1,14.8,6.7
2021-04-17,6,14.6,8.6
2021-04-18,5.6,15.3,9.7
2021-04-19,5.8,19.4,13.6
2021-04-20,8.1,22,13.9
2021-04-21,10.3,28.2,17.9
2021-04-22,16.1,27.5,11.4
2021-04-23,17,21.7,4.7
2021-04-24,15.3,22.2,6.9
2021-04-25,12.6,24,11.4
2021-04-26,12.3,20.6,8.3
2021-04-27,12.5,20,7.5
2021-04-28,11.2,18.2,7.0
2021-04-29,10.9,20.1,9.2
2021-04-30,8.6,14.6,6.0
2021-05-01,8.5,15.3,6.8
2021-05-02,7.3,18.7,11.4
2021-05-03,8.4,20.3,11.9
2021-05-04,11.4,15.8,4.4
2021-05-05,10.3,18.4,8.1
2021-05-06,7.9,23.1,15.2
2021-05-07,10.7,17.2,6.5
2021-05-08,8.9,21,12.1
2021-05-09,10,21.8,11.8
2021-05-10,11.7,14.6,2.9
2021-05-11,9.4,25.7,16.3
2021-05-12,16.9,27.7,10.8
2021-05-13,16.6,29.6,13.0
2021-05-14,18,30.8,12.8
2021-05-15,20.8,26.2,5.4
2021-05-16,14.8,20.8,6.0
2021-05-17,14.2,16.7,2.5
2021-05-18,13.6,24.5,10.9
2021-05-19,12.4,26.6,14.2
2021-05-20,15.6,22.9,7.3
2021-05-21,14.2,18.2,4.0
2021-05-22,13.8,23.8,10.0
2021-05-23,14.3,25.1,10.8
2021-05-24,16.4,24.5,8.1
2021-05-25,11.9,19.3,7.4
2021-05-26,11.5,23,11.5
2021-05-27,13.9,18.7,4.8
2021-05-28,12.4,19.7,7.3
2021-05-29,12.8,19.1,6.3
2021-05-30,10.8,26.3,15.5
2021-05-31,16.5,23.8,7.3
2021-06-01,15.9,23.9,8.0
2021-06-02,16.6,29.7,13.1
