기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 전국
기간 : 1973~2022 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,전국,1.1,-2.7,5.5
1973-02,전국,1.7,-2.7,6.6
1973-03,전국,5,-0.6,11.2
1973-04,전국,12.7,6.7,18.6
1973-05,전국,16.8,11.4,22.2
1973-06,전국,20.7,16.4,25.8
1973-07,전국,26.5,22.5,31.4
1973-08,전국,26.2,22.4,31
1973-09,전국,19.6,15.1,25.2
1973-10,전국,13,7.8,18.8
1973-11,전국,5.8,0.6,11.4
1973-12,전국,-1.4,-6.6,4.3
1974-01,전국,-2.2,-7.4,4.2
1974-02,전국,-0.9,-5.5,4
1974-03,전국,4.1,-0.7,9.5
1974-04,전국,11.4,5.6,17.2
1974-05,전국,16.7,11,22.6
1974-06,전국,19.7,14.5,25.2
1974-07,전국,22.3,19.7,25.8
1974-08,전국,25,20.9,29.9
1974-09,전국,19.6,14.2,25.9
1974-10,전국,13.1,7.6,19.3
1974-11,전국,5.8,0.6,12.1
1974-12,전국,0.5,-3.8,5.3
1975-01,전국,-1.2,-5.3,3.5
1975-02,전국,0.1,-4.5,5.2
1975-03,전국,4.8,-0.5,10.7
1975-04,전국,12.3,6.8,18.2
1975-05,전국,16.1,11.1,21.7
1975-06,전국,20.6,16.3,25.7
1975-07,전국,24.8,21.5,29
1975-08,전국,26,21.8,31.2
1975-09,전국,22.2,18.2,27.2
1975-10,전국,15,10.3,20.4
1975-11,전국,9,4.4,14.3
1975-12,전국,0,-4.5,5.5
1976-01,전국,-2.5,-7.6,3.1
1976-02,전국,3,-1.5,8.3
1976-03,전국,5.3,0.3,10.9
1976-04,전국,11,5.2,16.9
1976-05,전국,16.1,10.1,22.2
1976-06,전국,20.4,15.9,25.4
1976-07,전국,22.7,19,27.1
1976-08,전국,24.3,21,28.5
1976-09,전국,18.9,13.8,24.8
1976-10,전국,13.6,8.2,19.9
1976-11,전국,4.7,-0.3,10.3
1976-12,전국,1,-3.5,6.4
1977-01,전국,-5,-9.6,0.3
1977-02,전국,-1.5,-7.5,5
1977-03,전국,5.6,0.4,11.5
1977-04,전국,12.4,6.8,18.5
1977-05,전국,17,11.3,22.9
1977-06,전국,21,16.4,26.3
1977-07,전국,25.7,22.1,30.3
1977-08,전국,23.6,19.2,28.6
1977-09,전국,21,16.5,26.6
1977-10,전국,15.7,9.7,23.4
1977-11,전국,7.9,3.3,13.2
1977-12,전국,3.1,-1.6,8.9
1978-01,전국,-0.6,-5,4.3
1978-02,전국,-0.7,-5.5,4.5
1978-03,전국,4.8,-0.7,10.9
1978-04,전국,12,5.5,18.9
1978-05,전국,17.8,10.5,25.3
1978-06,전국,21.5,17,26.7
1978-07,전국,26.6,23,31.1
1978-08,전국,25.9,22.4,30.5
1978-09,전국,20.3,15.8,25.9
1978-10,전국,14,8.2,20.9
1978-11,전국,8.1,3.3,13.9
1978-12,전국,2.5,-2.3,8.3
1979-01,전국,1.5,-3.2,6.9
1979-02,전국,2.1,-2.6,7.6
1979-03,전국,6,0.5,12.3
1979-04,전국,11.1,5.6,16.6
1979-05,전국,16.1,10.1,22.4
1979-06,전국,21.4,17.7,26
1979-07,전국,24.1,20.5,28.5
1979-08,전국,24.9,21,29.6
1979-09,전국,19.3,14.9,24.8
1979-10,전국,14.8,8.5,22.4
1979-11,전국,6.4,1,12.7
1979-12,전국,2.1,-2.7,7.9
1980-01,전국,-1.6,-6.3,3.5
1980-02,전국,-1.7,-6.9,4
1980-03,전국,5.4,0.1,11.3
1980-04,전국,10.5,4.9,16.2
1980-05,전국,16.6,10.4,22.9
1980-06,전국,21.5,17.2,26.7
1980-07,전국,22.6,19.4,26.5
1980-08,전국,22,19.1,25.8
1980-09,전국,18.7,13.6,24.8
1980-10,전국,12.9,7.6,18.9
1980-11,전국,8.2,2.7,15
1980-12,전국,-1.8,-6.3,3.5
1981-01,전국,-5.3,-10.6,0.7
1981-02,전국,-0.6,-5.2,4.4
1981-03,전국,5.9,0.1,12.5
1981-04,전국,12,5.8,18.4
1981-05,전국,16.3,10.2,22.5
1981-06,전국,20.9,15.9,26.5
1981-07,전국,25.6,22.1,29.8
1981-08,전국,24.1,20,28.9
1981-09,전국,19,14.1,25.1
1981-10,전국,12.8,7.4,18.9
1981-11,전국,4.4,-0.2,9.8
1981-12,전국,0.6,-4.6,6.5
1982-01,전국,-2,-6.7,3.5
1982-02,전국,0.6,-4.6,6.9
